"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","WHEAT, WINTER - ACRES HARVESTED  -  <b>VALUE</b>","WHEAT, WINTER - ACRES HARVESTED  -  <b>CV (%)</b>","WHEAT, WINTER - ACRES PLANTED  -  <b>VALUE</b>","WHEAT, WINTER - ACRES PLANTED  -  <b>CV (%)</b>","WHEAT, WINTER - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","WHEAT, WINTER - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","ALLEN","001","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","16,700","1.4","17,500","0.1","945,000","5.6","56.6","5.5"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","BOURBON","011","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","11,200","2","11,400","0.2","624,000","5.4","55.7","5"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","BUTLER","015","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","46,200","1.1","49,900","0","1,977,000","9.8","42.8","9.7"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","CHAUTAUQUA","019","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","4,540","6.7","4,700","6.3","208,000","7.6","45.8","3.6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","CHEROKEE","021","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","67,400","2","68,800","0","5,385,000","6.6","79.9","6.4"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","COWLEY","035","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","61,600","0.8","76,600","0","1,423,000","3.6","23.1","3.6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","CRAWFORD","037","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","36,500","1.9","37,200","0.1","2,029,000","11.5","55.6","11.4"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","GREENWOOD","073","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","7,870","1.6","8,200","0.5","323,000","10","41","10"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","LABETTE","099","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","54,000","2.1","55,100","0","3,499,000","8.4","64.8","8.1"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","MONTGOMERY","125","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","43,000","2","43,900","0.1","2,356,000","5.4","54.8","5"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","NEOSHO","133","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","30,400","1.9","31,000","0.1","1,572,000","10.1","51.7","10"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","WILSON","205","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","43,400","2","44,300","0.1","2,496,000","5.1","57.5","4.8"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHEAST","90","WOODSON","207","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","15,300","1.7","15,700","0.2","929,000","8.2","60.7","8"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","CLARK","025","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","33,400","0.9","60,100","0.2","882,000","17.4","26.4","17.4"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRANT","067","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","32,100","1","84,300","0","1,624,000","10.6","50.6","10.5"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","GRAY","069","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","77,300","0.8","129,500","0","3,687,000","7","47.7","6.9"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","HAMILTON","075","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","40,400","1","129,000","0","1,147,000","11.3","28.4","11.2"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","HASKELL","081","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","32,600","0.9","84,800","0","1,392,000","10.6","42.7","10.5"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","SOUTHWEST","30","HODGEMAN","083","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","74,100","0.8","101,500","0","2,401,000","16","32.4","16"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","WEST CENTRAL","20","GOVE","063","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","57,200","0.8","106,000","0","1,687,000","10.4","29.5","10.4"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","WEST CENTRAL","20","GREELEY","071","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","160,600","1.1","178,500","0","5,814,000","5.1","36.2","4.9"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","WEST CENTRAL","20","NESS","135","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","75,100","0.8","131,500","0","2,103,000","6.1","28","6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","WEST CENTRAL","20","WALLACE","199","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","75,000","1","87,000","0","2,693,000","8.6","35.9","8.6"
"SURVEY","2023","YEAR","","COUNTY","KANSAS","20","WEST CENTRAL","20","WICHITA","203","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","102,400","0.7","137,500","0","3,963,000","6.4","38.7","6.4"
"SURVEY","2023","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","WHEAT","TOTAL","NOT SPECIFIED","5,750,000","","8,100,000","","201,250,000","","35",""
